name,price,gtin,url
Can Kardeşler Türk Kahvesi KG,"358,00 ₺",2716156000006,https://www.gurmar.com.tr/can-karde%C5%9Fler-turk-kahvesi-kg
"Cafe Crown 3'ü 1 Arada 17,5 Gr","5,00 ₺",8690504098607,https://www.gurmar.com.tr/cafe-crown-3u-1-arada-17-5-gr
Cafe Crown 2'si 1 Arada Şekersiz 11 Gr,"5,00 ₺",8690504099000,https://www.gurmar.com.tr/cafe-crown-2si-1-arada-%C5%9Fekersiz-11-gr
Can Kardeşler Damla Sakızlı Türk Kahvesi 100 Gr,"63,00 ₺",8697820030021,https://www.gurmar.com.tr/can-karde%C5%9Fler-damla-sak%C4%B1zl%C4%B1-turk-kahvesi-100-gr
Can Çikolatalı Türk Kahvesi 100 Gr,"52,00 ₺",8697820030038,https://www.gurmar.com.tr/can-cikolatal%C4%B1-turk-kahvesi-100-gr
Cappy %100 Elma Suyu,"34,50 ₺",5449000012005,https://www.gurmar.com.tr/cappy--100-elma-suyu-
Cafe Crown 3ü 1 Arada Action 18 Gr,"5,00 ₺",8690504098508,https://www.gurmar.com.tr/cafe-crown-3u-1-arada-action-18-gr
Cafe Crown 3ü 1 Arada Fındıklı 13 Gr,"5,00 ₺",8690504098904,https://www.gurmar.com.tr/cafe-crown-3u-1-arada-f%C4%B1nd%C4%B1kl%C4%B1-13-gr
Cafe Crown Salep 15 Gr,"5,00 ₺",8692971063201,https://www.gurmar.com.tr/cafe-crown-salep-15-gr
Cafe Crown 2'si 1 Arada 12 Gr,"5,00 ₺",8690504098362,https://www.gurmar.com.tr/cafe-crown-2si-1-arada-12-gr
Bağdat Çiçek Ihlamur Çayı 45 Gr,"63,50 ₺",8690560090416,https://www.gurmar.com.tr/ba%C4%9Fdat-cicek-ihlamur-cay%C4%B1-45-gr
Bağdat Başak Adaçayı 50 Gr,"23,50 ₺",8690560038036,https://www.gurmar.com.tr/ba%C4%9Fdat-ba%C5%9Fak-adacay%C4%B1-50-gr
Bağdat Kış Çayı Mürverli Karışık Paketi,"27,90 ₺",8690560022080,https://www.gurmar.com.tr/ba%C4%9Fdat-k%C4%B1%C5%9F-cay%C4%B1-murverli-kar%C4%B1%C5%9F%C4%B1k-paketi
Çaykur 42 Nolu Tirebolu Dökme Çay 200 Gr,"42,75 ₺",8690105005394,https://www.gurmar.com.tr/caykur-42-nolu-tirebolu-dokme-cay-200-gr
Burn Gold Spark Enerji İçeceği 250 Ml,"35,00 ₺",5060466516205,https://www.gurmar.com.tr/burn-gold-spark-enerji-icece%C4%9Fi-250-ml
Cappy Vişne Nektarı 200 Ml,"7,00 ₺",90495441,https://www.gurmar.com.tr/cappy-vi%C5%9Fne-nektar%C4%B1-200-ml
Cappy Şeftali Aromalı Meyve Suyu 200 Ml,"7,00 ₺",90495489,https://www.gurmar.com.tr/cappy-%C5%9Feftali-aromal%C4%B1-meyve-suyu-200-ml
Cappy Pulpy Portakal Aromalı Meyve Suyu 330 Ml,"15,00 ₺",5449000147042,https://www.gurmar.com.tr/cappy-pulpy-portakal-aromal%C4%B1-meyve-suyu-330-ml
Cappy Pulpy Mandalina Aromalı Meyve Suyu 1 Lt,"26,50 ₺",5449000030207,https://www.gurmar.com.tr/cappy-pulpy-mandalina-aromal%C4%B1-meyve-suyu-1-lt
Cappy Pulpy Portakal Aromalı Meyve Suyu 1 Lt,"26,50 ₺",5449000147417,https://www.gurmar.com.tr/cappy-pulpy-portakal-aromal%C4%B1-meyve-suyu-1-lt
Cappy Portakal Aromalı Meyve Suyu 200 Ml,"7,00 ₺",90495434,https://www.gurmar.com.tr/cappy-portakal-aromal%C4%B1-meyve-suyu-200-ml
Burn Enerji İçeceği 500 Ml,"50,00 ₺",5449000131768,https://www.gurmar.com.tr/burn-enerji-icece%C4%9Fi-500-ml
Cappy Meyve Tanem Karışık Meyve Suyu 1 Lt,"26,50 ₺",5449000188328,https://www.gurmar.com.tr/cappy-meyve-tanem-kar%C4%B1%C5%9F%C4%B1k-meyve-suyu-1-lt
Cappy Kayısı Aromalı Meyve Suyu 200 Ml,"7,00 ₺",90495526,https://www.gurmar.com.tr/cappy-kay%C4%B1s%C4%B1-aromal%C4%B1-meyve-suyu-200-ml
Cappy Karışık Meyve Suyu 200 Ml,"7,00 ₺",90338588,https://www.gurmar.com.tr/cappy-kar%C4%B1%C5%9F%C4%B1k-meyve-suyu-200-ml
Çaykur Yeşil Süzen Çay 24'lü 40 Gr,"24,90 ₺",8690105001341,https://www.gurmar.com.tr/caykur-ye%C5%9Fil-suzen-cay-24lu-40-gr
Cappy Portakal Aromalı Meyve Suyu 1 Lt,"32,00 ₺",5449000051776,https://www.gurmar.com.tr/cappy-portakal-aromal%C4%B1-meyve-suyu-1-lt
Çaykur Tomurcuk Teneke Çay 200 Gr,"59,90 ₺",8690105001709,https://www.gurmar.com.tr/caykur-tomurcuk-teneke-cay-200-gr
Cappy Kayısı Aromalı Meyve Suyu 1 Lt,"32,00 ₺",5449000087461,https://www.gurmar.com.tr/cappy-kay%C4%B1s%C4%B1-aromal%C4%B1-meyve-suyu-1-lt
Çaykur Tomurcuk Earl Grey Dökme Çay 125 Gr,"45,90 ₺",8690105009347,https://www.gurmar.com.tr/caykur-tomurcuk-earl-grey-dokme-cay-125-gr
Çaykur Tiryaki Dökme Çay 500 Gr,"81,75 ₺",8690105000719,https://www.gurmar.com.tr/caykur-tiryaki-dokme-cay-500-gr
Çaykur Tiryaki Dökme Çay 1 Kg,"154,90 ₺",8690105000436,https://www.gurmar.com.tr/caykur-tiryaki-dokme-cay-1-kg
Cappy Karışık Meyve Suyu 1 Lt,"32,00 ₺",5449000146526,https://www.gurmar.com.tr/cappy-kar%C4%B1%C5%9F%C4%B1k-meyve-suyu-1-lt
Çaykur Siyah Süzen Bardak Poşet Çay 25'li 50 Gr,"29,90 ₺",8690105000979,https://www.gurmar.com.tr/caykur-siyah-suzen-bardak-po%C5%9Fet-cay-25li-50-gr
Çaykur Rize Turist Dökme Çay 500 Gr,"82,90 ₺",8690105000122,https://www.gurmar.com.tr/caykur-rize-turist-dokme-cay-500-gr
Çaykur Rize Turist Dökme Çay 200 Gr,"34,90 ₺",8690105000924,https://www.gurmar.com.tr/caykur-rize-turist-dokme-cay-200-gr
Çaykur Rize Turist Dökme Çay 100 Gr,"19,90 ₺",8690105000160,https://www.gurmar.com.tr/caykur-rize-turist-dokme-cay-100-gr
Çaykur Siyah Süzme Bardak Poşet Çay 100'lü 200 Gr,"110,90 ₺",8690105001044,https://www.gurmar.com.tr/caykur-siyah-suzme-bardak-po%C5%9Fet-cay-100lu-200-gr
Çaykur Rize Turist Dökme Çay 1 Kg,"155,90 ₺",8690105001921,https://www.gurmar.com.tr/caykur-rize-turist-dokme-cay-1-kg
Coca Cola Şekersiz Teneke 4*250ML,"74,25 ₺",Belirtilmemis,https://www.gurmar.com.tr/coca-cola-%C5%9Fekersiz-teneke-4-250ml
Coca Cola Şekersiz 450 Ml,"20,00 ₺",90375323,https://www.gurmar.com.tr/coca-cola-%C5%9Fekersiz-450-ml
Burn Enerji İçeceği 250 Ml,"19,95 ₺",5449000066015,https://www.gurmar.com.tr/burn-enerji-icece%C4%9Fi-250-ml
Cappy Şeftali Aromalı Meyve Suyu 1 Lt,"32,00 ₺",5449000021595,https://www.gurmar.com.tr/cappy-%C5%9Feftali-aromal%C4%B1-meyve-suyu-1-lt
Burn Enerji İçeceği 4*250 Ml,"127,45 ₺",5449000090256,https://www.gurmar.com.tr/burn-enerji-icece%C4%9Fi-4-250-ml
Damla Maden Suyu 6*200 Ml,"24,75 ₺",5449000176288,https://www.gurmar.com.tr/damla-maden-suyu-6-200-ml
Damla Minera Elma Aromalı Maden Suyu 6*200 Ml,"39,75 ₺",5449000176516,https://www.gurmar.com.tr/damla-minera-elma-aromal%C4%B1-maden-suyu-6-200-ml
