name,price,gtin,url
ABC Parfumia Gizemli Lotus Konsantre Yumuşatıcı 1440 Ml,"63,90 ₺",8690511125334,https://www.gurmar.com.tr/abc-parfumia-gizemli-lotus-konsantre-yumu%C5%9Fat%C4%B1c%C4%B1-1440-ml
ABC Parfumia Tutkulu Dahlia Konsantre Yumuşatıcı 1440 Ml,"63,90 ₺",8690511125938,https://www.gurmar.com.tr/abc-parfumia-tutkulu-dahlia-konsantre-yumu%C5%9Fat%C4%B1c%C4%B1-1440-ml
Ace Bahar Çamaşır Suyu 2 Lt,"59,90 ₺",8001480021808,https://www.gurmar.com.tr/ace-bahar-cama%C5%9F%C4%B1r-suyu-2-lt
ABC Sıvı Sık Yıkanan Çamaşırlara Özel Çamaşır Deterjanı 2700 Ml,"94,90 ₺",8690511161615,https://www.gurmar.com.tr/abc-s%C4%B1v%C4%B1-s%C4%B1k-y%C4%B1kanan-cama%C5%9F%C4%B1rlara-ozel-cama%C5%9F%C4%B1r-deterjan%C4%B1-2700-ml
ABC Misket Limonlu Bulaşık Deterjanı 4 Lt,"94,90 ₺",8690511191834,https://www.gurmar.com.tr/abc-misket-limonlu-bula%C5%9F%C4%B1k-deterjan%C4%B1-4-lt
ABC Sıvı Arap Sabunu 900 Ml,"34,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/abc-s%C4%B1v%C4%B1-arap-sabunu-900-ml
ABC Leke Karşıtı Sıvı Çamaşır Deterjanı 2700 Ml,"94,95 ₺",Belirtilmemis,https://www.gurmar.com.tr/abc-leke-kar%C5%9F%C4%B1t%C4%B1-s%C4%B1v%C4%B1-cama%C5%9F%C4%B1r-deterjan%C4%B1-2700-ml
ABC Pembe Tutku Yüzey Tezmizleyicisi 2500 Ml,"49,90 ₺",8690511184126,https://www.gurmar.com.tr/abc-pembe-tutku-yuzey-tezmizleyicisi-2500-ml
Ace Bahar Çamaşır Suyu 1 Lt,"36,50 ₺",8690509250154,https://www.gurmar.com.tr/ace-bahar-cama%C5%9F%C4%B1r-suyu-1-lt
ABC Matik Lavanta Tazeliği Çamaşır Deterjanı 6 Kg,"169,90 ₺",8690511005445,https://www.gurmar.com.tr/abc-matik-lavanta-tazeli%C4%9Fi-cama%C5%9F%C4%B1r-deterjan%C4%B1-6-kg
ABC Matik Gül Tutkusu Çamaşır Deterjanı 6 Kg,"169,90 ₺",8690511005452,https://www.gurmar.com.tr/abc-matik-gul-tutkusu-cama%C5%9F%C4%B1r-deterjan%C4%B1-6-kg
ABC Karbonatlı Ultra Çamaşır Suyu 750 Ml,"28,90 ₺",8690511008460,https://www.gurmar.com.tr/abc-karbonatl%C4%B1-ultra-cama%C5%9F%C4%B1r-suyu-750-ml
ABC İpeksi Yumuşaklık Aşk Çamaşır Yumuşatıcısı 5 Lt,"94,90 ₺",8690511001652,https://www.gurmar.com.tr/abc-ipeksi-yumu%C5%9Fakl%C4%B1k-a%C5%9Fk-cama%C5%9F%C4%B1r-yumu%C5%9Fat%C4%B1c%C4%B1s%C4%B1-5-lt
ABC Dağ Rüzgarı Ultra Çamaşır Suyu 750 Ml,"28,90 ₺",8690511183938,https://www.gurmar.com.tr/abc-da%C4%9F-ruzgar%C4%B1-ultra-cama%C5%9F%C4%B1r-suyu-750-ml
ABC İpeksi Yumuşaklık Tutku Çamaşır Yumuşatıcısı 5 Lt,"94,90 ₺",8690511001638,https://www.gurmar.com.tr/abc-ipeksi-yumu%C5%9Fakl%C4%B1k-tutku-cama%C5%9F%C4%B1r-yumu%C5%9Fat%C4%B1c%C4%B1s%C4%B1-5-lt
ABC İpeksi Yumuşaklık Huzur Çamaşır Yumuşatıcısı 5 Lt,"94,90 ₺",8690511001645,https://www.gurmar.com.tr/abc-ipeksi-yumu%C5%9Fakl%C4%B1k-huzur-cama%C5%9F%C4%B1r-yumu%C5%9Fat%C4%B1c%C4%B1s%C4%B1-5-lt
Air Wick Eliktirikli Kit Oda Kokusu Yedek Temizlik Esintisi 19 Ml,"99,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/air-wick-eliktirikli-kit-oda-kokusu-yedek-temizlik-esintisi-19-ml
ABC Cam Temizleyici 750 Ml,"21,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/abc-cam-temizleyici-750-ml
Air Wick Elektirikli Kit Oda Kokusu Yedek Lavanta 19 Ml,"99,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/air-wick-elektirikli-kit-oda-kokusu-yedek-lavanta-19-ml
Air Wick Elektirikli Kit Oda Kokusu Temizlik Esintisi 19 Ml,"239,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/air-wick-elektirikli-kit-oda-kokusu-temizlik-esintisi-19-ml
Air Wick Elektirikli Kit Oda Kokusu Yedek Bahar Çiçekleri 19 Ml,"99,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/air-wick-elektirikli-kit-oda-kokusu-yedek-bahar-cicekleri-19-ml
Ace Ultra Power Jel Çiçek Kokulu Çamaşır Suyu &Yağ Çözücü 810 Gr,"40,90 ₺",8001480023222,https://www.gurmar.com.tr/ace-ultra-power-jel-cicek-kokulu-cama%C5%9F%C4%B1r-suyu--ya%C4%9F-cozucu-810-gr
Air Wick Elektirikli Kit Oda Kokusu Lavanta 19 Ml,"239,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/air-wick-elektirikli-kit-oda-kokusu-lavanta-19-ml
Activex Antibakteriyel Islak Mendil 50'li,"29,90 ₺",8690506523343,https://www.gurmar.com.tr/activex-antibakteriyel-islak-mendil-50li
Air Wick Deco Sphere Mango&Turunç Kokulu Oda Kokusu 2'li,"257,90 ₺",8690570522730,https://www.gurmar.com.tr/air-wick-deco-sphere-mango-turunc-kokulu-oda-kokusu-2li
Ace Ultra Genel Kullanım Temizleyici Sprey,"79,95 ₺",8001480711914,https://www.gurmar.com.tr/ace-ultra-genel-kullan%C4%B1m-temizleyici-sprey
Air Wick Deco Sphere Mango&Turunç Oda Kokusu,"139,90 ₺",3059946079028,https://www.gurmar.com.tr/air-wick-deco-sphere-mango-turunc-oda-kokusu
Ace Ultra Power Jel Çiçek Kokulu Çamaşır Suyu 810 Gr,"40,90 ₺",8001480023215,https://www.gurmar.com.tr/ace-ultra-power-jel-cicek-kokulu-cama%C5%9F%C4%B1r-suyu-810-gr
Ace Ultra Banyo Kireç Çözücü Sprey 700 Ml,"79,95 ₺",8001480711907,https://www.gurmar.com.tr/ace-ultra-banyo-kirec-cozucu-sprey-700-ml
Ace Ultra Köpük Çiçek Kokulu Çamaşır Suyu 700 Ml,"79,95 ₺",8001480023185,https://www.gurmar.com.tr/ace-ultra-kopuk-cicek-kokulu-cama%C5%9F%C4%B1r-suyu-700-ml
Ace Ultra Mutfak Yağ Çözücü Sprey 700 Ml,"79,95 ₺",8001480711303,https://www.gurmar.com.tr/ace-ultra-mutfak-ya%C4%9F-cozucu-sprey-700-ml
Ace Klasik Çamaşır Suyu 4 Lt,"69,90 ₺",8001480703223,https://www.gurmar.com.tr/ace-klasik-cama%C5%9F%C4%B1r-suyu-4-lt
Ace Lavanta Kokulu Çamaşır Suyu 1 Lt,"36,50 ₺",8001480021815,https://www.gurmar.com.tr/ace-lavanta-kokulu-cama%C5%9F%C4%B1r-suyu-1-lt
Ace Klasik Çamaşır Suyu 2 Lt,"59,90 ₺",8001480021792,https://www.gurmar.com.tr/ace-klasik-cama%C5%9F%C4%B1r-suyu-2-lt
Ariel Sıvı Canlı Parlak Renkliler 16 Yıkama,"169,90 ₺",8006540819296,https://www.gurmar.com.tr/ariel-s%C4%B1v%C4%B1-canl%C4%B1-parlak-renkliler-16-y%C4%B1kama
Ariel Renklilere Özel Aqua Pudra Dağ Esintisi 9 kg,"369,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/ariel-renklilere-ozel-aqua-pudra-da%C4%9F-esintisi-9-kg
Ariel Parlak Renkler Renkliler için Toz Deterjan 26 Yıkama 4 Kg,"229,90 ₺",8001090846273,https://www.gurmar.com.tr/ariel-parlak-renkler-renkliler-icin-toz-deterjan-26-y%C4%B1kama-4-kg
Ariel Parlak Renkler Renkliler İçin Toz Çamaşır Deterjanı 7 Kg,"365,90 ₺",8006540465127,https://www.gurmar.com.tr/ariel-parlak-renkler-renkliler-icin-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-7-kg
"Ariel Oxi Extra Hijyen Renkliler Toz Deterjan 5,5 kg","249,90 ₺",8001090333636,https://www.gurmar.com.tr/ariel-oxi-extra-hijyen-renkliler-toz-deterjan-5-5-kg
"Ariel Oxi Leke Çıkarıcı Etkili Toz Çamaşır Deterjanı 8 Yıkama 1,2 Kg","105,90 ₺",8001841661735,https://www.gurmar.com.tr/ariel-oxi-leke-c%C4%B1kar%C4%B1c%C4%B1-etkili-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-8-y%C4%B1kama-1-2-kg
"Ariel Parlak Renkler Renkliler İçin Toz Çamaşır Deterjanı 1,5 Kg","108,90 ₺",5413149635135,https://www.gurmar.com.tr/ariel-parlak-renkler-renkliler-icin-toz-cama%C5%9F%C4%B1r-deterjan%C4%B1-1-5-kg
