name,price,gtin,url
Kuzu But İnciksiz Kg,"414,90 ₺",2723232000003,https://www.gurmar.com.tr/kuzu-but-inciksiz-kg
Gürmar Dana Kangal Sucuk Kg,"499,90 ₺",2712124000009,https://www.gurmar.com.tr/gurmar-dana-kangal-sucuk-kg
Dana Sote Kg,"459,95 ₺",2700828000005,https://www.gurmar.com.tr/dana-sote-kg
Kuzu But Tandır Kg,"579,90 ₺",2700830000000,https://www.gurmar.com.tr/kuzu-but-tand%C4%B1r-kg
Kuzu But Kg,"409,90 ₺",2706631000003,https://www.gurmar.com.tr/kuzu-but-kg-
Kuzu Gerdan Kg,"374,90 ₺",2701533000007,https://www.gurmar.com.tr/kuzu-gerdan-kg-
Kuzu Ayak Adet,"15,90 ₺",2814384000000,https://www.gurmar.com.tr/kuzu-ayak-adet
Kuzu Böbrek Yatağı Kg,"429,90 ₺",2702423000008,https://www.gurmar.com.tr/kuzu-bobrek-yata%C4%9F%C4%B1-kg
Kuzu İncik Kg,"469,90 ₺",2700841000006,https://www.gurmar.com.tr/kuzu-incik-kg-
Dana Rosto Kg,"449,95 ₺",2706699000007,https://www.gurmar.com.tr/dana-rosto-kg-
Dana Rulo Kıymalık Kg,"389,90 ₺",2711946000006,https://www.gurmar.com.tr/dana-rulo-k%C4%B1ymal%C4%B1k-kg
Dana Haşlamalık Et Kg,"459,95 ₺",2703221000009,https://www.gurmar.com.tr/dana-ha%C5%9Flamal%C4%B1k-et-kg
Dana Nuar Kg,"459,95 ₺",2700827000006,https://www.gurmar.com.tr/dana-nuar-kg
Dana Kol Kuşbaşı Kg,"439,95 ₺",2706711000008,https://www.gurmar.com.tr/dana-kol-ku%C5%9Fba%C5%9F%C4%B1-kg
Dana Pirzola Kg,"499,95 ₺",2718180000007,https://www.gurmar.com.tr/dana-pirzola-kg
Dana Kontrfile Kg,"499,95 ₺",2706697000009,https://www.gurmar.com.tr/dana-kontrfile-kg
Dana Kuşbaşı Kıymalık Kg,"379,95 ₺",2703039000000,https://www.gurmar.com.tr/dana-ku%C5%9Fba%C5%9F%C4%B1-k%C4%B1ymal%C4%B1k-kg
Akdeniz Toros Gezen Tavuk Bütün Kg (Donuk Olarak Satılır),"139,90 ₺",2708183000005,https://www.gurmar.com.tr/akdeniz-toros-gezen-tavuk-butun-kg-donuk-olarak-sat%C4%B1l%C4%B1r
Akdeniz Toros Piliç Baget Kg (Donuk Olarak Satılır),"139,90 ₺",2702491000009,https://www.gurmar.com.tr/akdeniz-toros-pilic-baget-kg-donuk-olarak-sat%C4%B1l%C4%B1r
