name,price,gtin,url
Ankara Kalem Makarna 500 Gr,"16,00 ₺",8690576029431,https://www.gurmar.com.tr/ankara-kalem-makarna-500-gr
Ankara Kepekli Burgu Makarna 350 Gr,"17,50 ₺",8690576423130,https://www.gurmar.com.tr/ankara-kepekli-burgu-makarna-350-gr
Ankara Burgu Makarna 500 Gr,"16,00 ₺",8690576029172,https://www.gurmar.com.tr/ankara-burgu-makarna-500-gr
Ankara Erişte Makarna 500 Gr,"16,00 ₺",8690576029202,https://www.gurmar.com.tr/ankara-eri%C5%9Fte-makarna-500-gr
Ankara İnce Uzun Makarna 500 Gr,"16,00 ₺",8690576029233,https://www.gurmar.com.tr/ankara-ince-uzun-makarna-500-gr
Ankara Fırın Makarna 500 Gr,"16,00 ₺",8690576029028,https://www.gurmar.com.tr/ankara-f%C4%B1r%C4%B1n-makarna-500-gr
Ankara Fiyonk Makarna 500 Gr,"16,00 ₺",8690576029226,https://www.gurmar.com.tr/ankara-fiyonk-makarna-500-gr
Ankara Kelebek Makarna 500 Gr,"16,00 ₺",8690576029417,https://www.gurmar.com.tr/ankara-kelebek-makarna-500-gr
Ankara Tam Buğday Spaghetti Makarna 500 Gr,"19,50 ₺",8690576429002,https://www.gurmar.com.tr/ankara-tam-bu%C4%9Fday-spaghetti-makarna-500-gr
Ankara Arpa Şehriye 500 Gr,"16,00 ₺",8690576029806,https://www.gurmar.com.tr/ankara-arpa-%C5%9Fehriye-500-gr
Ankara Boncuk Makarna 500 Gr,"16,00 ₺",8690576029189,https://www.gurmar.com.tr/ankara-boncuk-makarna-500-gr
Ankara Tam Buğday Penne Makarna 500 Gr,"19,50 ₺",8690576429439,https://www.gurmar.com.tr/ankara-tam-bu%C4%9Fday-penne-makarna-500-gr
Ankara Mantı Makarna 500 Gr,"16,00 ₺",8690576029257,https://www.gurmar.com.tr/ankara-mant%C4%B1-makarna-500-gr
Ankara Yüksük Makarna 500 Gr,"16,00 ₺",8690576029288,https://www.gurmar.com.tr/ankara-yuksuk-makarna-500-gr
Ankara Sebzeli Burgu Makarna 350 Gr,"17,50 ₺",8690576422140,https://www.gurmar.com.tr/ankara-sebzeli-burgu-makarna-350-gr
